"","name","country","latitude","longitude"
"1","Austria","AT",47.516231,14.550072
"2","Belgium","BE",50.503887,4.469936
"3","Bulgaria","BG",42.733883,25.48583
"4","Croatia","HR",45.1,15.2
"5","Cyprus","CY",35.126413,33.429859
"6","Denmark","DK",56.26392,9.501785
"7","Estonia","EE",58.595272,25.013607
"8","Finland","FI",61.92411,25.748151
"9","France","FR",46.227638,2.213749
"10","Greece","GR",39.074208,21.824312
"11","Hungary","HU",47.162494,19.503304
"12","Iceland","IS",64.963051,-19.020835
"13","Ireland","IE",53.41291,-8.24389
"14","Italy","IT",41.87194,12.56738
"15","Latvia","LV",56.879635,24.603189
"16","Liechtenstein","LI",47.166,9.555373
"17","Lithuania","LT",55.169438,23.881275
"18","Luxembourg","LU",49.815273,6.129583
"19","Malta","MT",35.937496,14.375416
"20","Netherlands","NL",52.132633,5.291266
"21","Norway","NO",60.472024,8.468946
"22","Poland","PL",51.919438,19.145136
"23","Portugal","PT",39.399872,-8.224454
"24","Romania","RO",45.943161,24.96676
"25","Slovakia","SK",48.669026,19.699024
"26","Slovenia","SI",46.151241,14.995463
"27","Spain","ES",40.463667,-3.74922
"28","Sweden","SE",60.128161,18.643501
"29","Switzerland","CH",46.818188,8.227512
"30","United Kingdom","GB",55.378051,-3.435973
