Year,region_dest,region_orig,Immigrants
2017,Africa,Africa,"17,507,961"
2017,Africa,Asia,"3,392,670"
2017,Africa,Europe,"966,038"
2017,Africa,Latin America and the Caribbean,"19,375"
2017,Africa,North America,"65,946"
2017,Africa,Oceania,"21,060"
2017,Asia,Africa,"4,429,386"
2017,Asia,Asia,"63,951,166"
2017,Asia,Europe,"6,916,311"
2017,Asia,Latin America and the Caribbean,"92,137"
2017,Asia,North America,"504,368"
2017,Asia,Oceania,"93,493"
2017,Europe,Africa,"8,846,860"
2017,Europe,Asia,"34,994,198"
2017,Europe,Europe,"39,838,184"
2017,Europe,Latin America and the Caribbean,"3,376,247"
2017,Europe,North America,"1,030,770"
2017,Europe,Oceania,"350,166"
2017,Latin America and the Caribbean,Africa,"51,502"
2017,Latin America and the Caribbean,Asia,"2,081,274"
2017,Latin America and the Caribbean,Europe,"1,339,354"
2017,Latin America and the Caribbean,Latin America and the Caribbean,"4,976,819"
2017,Latin America and the Caribbean,North America,"1,361,073"
2017,Latin America and the Caribbean,Oceania,"6,986"
2017,North America,Africa,"2,354,552"
2017,North America,Asia,"20,744,967"
2017,North America,Europe,"7,533,651"
2017,North America,Latin America and the Caribbean,"25,623,445"
2017,North America,North America,"1,217,471"
2017,North America,Oceania,"275,102"
2017,Oceania,Africa,"516,199"
2017,Oceania,Asia,"5,174,315"
2017,Oceania,Europe,"3,045,071"
2017,Oceania,Latin America and the Caribbean,"115,539"
2017,Oceania,North America,"233,215"
2017,Oceania,Oceania,"1,060,160"
