Year,region_dest,region_orig,Immigrants
2017,Africa,Africa,17507961
2017,Africa,Asia,3392670
2017,Africa,Europe,966038
2017,Africa,Latin America and the Caribbean,19375
2017,Africa,North America,65946
2017,Africa,Oceania,21060
2017,Asia,Africa,4429386
2017,Asia,Asia,63951166
2017,Asia,Europe,6916311
2017,Asia,Latin America and the Caribbean,92137
2017,Asia,North America,504368
2017,Asia,Oceania,93493
2017,Europe,Africa,8846860
2017,Europe,Asia,34994198
2017,Europe,Europe,39838184
2017,Europe,Latin America and the Caribbean,3376247
2017,Europe,North America,1030770
2017,Europe,Oceania,350166
2017,Latin America and the Caribbean,Africa,51502
2017,Latin America and the Caribbean,Asia,2081274
2017,Latin America and the Caribbean,Europe,1339354
2017,Latin America and the Caribbean,Latin America and the Caribbean,4976819
2017,Latin America and the Caribbean,North America,1361073
2017,Latin America and the Caribbean,Oceania,6986
2017,North America,Africa,2354552
2017,North America,Asia,20744967
2017,North America,Europe,7533651
2017,North America,Latin America and the Caribbean,25623445
2017,North America,North America,1217471
2017,North America,Oceania,275102
2017,Oceania,Africa,516199
2017,Oceania,Asia,5174315
2017,Oceania,Europe,3045071
2017,Oceania,Latin America and the Caribbean,115539
2017,Oceania,North America,233215
2017,Oceania,Oceania,1060160
